"Mnemonic","OemCode","Manufacturer","Product","DMX in","DMX out","Are ports Physical","Is RDM supported","Website"
"OemGlobal","0xffff","Artistic Licence Engineering Ltd","OemGlobal","0","0","n","n","http:\\www.ArtisticLicence.com"
"OemArtFourPlay","0x8003","Artistic Licence Engineering Ltd","Four-Play","4","4","y","n","http:\\www.ArtisticLicence.com"
"OemDMXHubXT","0x8002","Artistic Licence Engineering Ltd","DMX-Hub XT","4","4","y","n","http:\\www.ArtisticLicence.com"
"OemNetPatch","0x8001","Artistic Licence Engineering Ltd","Net-Patch","0","0","n","y","http:\\www.ArtisticLicence.com"
"OemNetgateXT","0x8000","Artistic Licence Engineering Ltd","Netgate XT","4","4","y","n","http:\\www.ArtisticLicence.com"
"Oem_automatic_devices_company_adc_clear_path_controller_1","0x2BD0","Automatic Devices Company","ADC Clear Path Controller","1","1","n","n","https://adctracks.com/"
"Oem_chauvet_dmx-an_1","0x2BCF","CHAUVET","DMX-AN","2","2","Y","Y",""
"Oem_guangzhou_chaiyi_light_co_ltd_tekmand_node_2p_1","0x2BCE","Guangzhou ChaiYi Light CO Ltd","TEKMAND Node 2P","2","2","y","y","http://en.fineart-light.com"
"Oem_company_235_llc_openlcp_1","0x2BCD","Company 235 LLC","OpenLCP","32.768","32.768","n","y","https://company235.com/"
"Oem_briteq_btx-lightstrike_1","0x2BCC","Briteq","BTX-LIGHTSTRIKE","1","1","y","y","www.briteq-lighting.com"
"Oem_nicoleaudio_daslight4_1","0x2BCB","nicoleaudio","daslight4","2","2","y","y","https://www.daslight.com/daslight4.htm"
"Oem_on_lx_limited_ctrl_engine_1","0x2BCA","ON LX Limited","Ctrl Engine","0","0","n","n","https://labs.onlx.ltd/"
"Oem_riccarf_asa_1","0x2BC9","riccarf","asa","1","1","y","y",""
"Oem_adj_products_pixie_driver_8000_1","0x2BC8","ADJ Products","Pixie Driver 8000","2","8","y","n","https://www.adj.com"
"Oem_skaarhoj_bluepill_1","0x2BC7","Skaarhoj","BluePill","32.768","32.768","n","n","https://www.skaarhoj.com/"
"Oem_krypton_x-treme_1100_1","0x2BC6","Krypton","X-Treme 1100","2.048","2.048","Y","Y","https://"
"Oem_super-can_industry_growing_co_ltd_eta-node_1","0x2BC5","SUPER-CAN Industry Growing Co LTD","ETA-Node","0","2","y","y","https://www.supercanlight.com/"
"Oem_super-can_light_hdmi_video_player_1","0x2BC4","SUPER-CAN Light","HDMI Video Player","2","2","y","n","https://www.supercanlight.com/"
"Oem_krypton_brute_1","0x2BC3","Krypton","BRUTE","2.048","2.048","Y","Y","https://"
"Oem_krypton_p800-ip_1","0x2BC2","Krypton","P800-IP","1","1","Y","Y","https://"
"Oem_subsomav_lda_mypocketnode_1","0x2BC1","Subsomav Lda","MyPocketNode","","2","y","y","www.subsomav.com"
"Oem_gva_lighting_inc_pdc5_1","0x2BC0","GVA Lighting Inc","PDC5","0","128","n","y","https://gvalighting.com/"
"Oem_manu_enttec_1","0x2BBF","Manu","Enttec","2","1","si","no",""
"Oem_shenzhen_imaginevision_technology_limited_zolar_1","0x2BBE","Shenzhen ImagineVision Technology Limited","ZOLAR","1","1","y","y","www.z-cam.com"
"Oem_adkins_professional_lighting_6x6_watt_rgbaw_uv_flatpar_1","0x2BBD","Adkins Professional Lighting","6x6 Watt RGBAW UV FlatPar","10","10","y","n","http://www.adkinsprolighting.com/Wireless-Hex-6-6x6w-RGBAW-and-UV-p/wireless-hex-6-b.htm"
"Oem_chauvet_professional_maverick_storm_2_profile_1","0x2BBC","Chauvet Professional","Maverick Storm 2 Profile","1","1","y","y","www.chauvetprofessional.com"
"Oem_chauvet_professional_maverick_storm_4_profile_1","0x2BBB","Chauvet Professional","Maverick Storm 4 Profile","1","1","y","y","www.chauvetprofessional.com"
"Oem_expanseelectronics_dualeth_1","0x2BBA","expanseElectronics","dualETH","1","2","y","y","https://expanseelectronics.com/"
"Oem_expanseelectronics_solowifi_1","0x2BB9","expanseElectronics","soloWiFi","1","1","y","y","https://expanseelectronics.com/"
"Oem_l4s_gmbh_eth_controller_10x1024_1","0x2BB8","L4S GmbH","ETH Controller 10x1024","20","20","n","n","https://www.light4show.de"
"Oem_tank-serbatoio_culturale_tasv_1","0x2BB7","Tank-Serbatoio Culturale","TASV","2","2","y","y","https://www.facebook.com/tankbologna"
"Oem_lichtmanufaktur_berlin_gmbh_lithernet_casambi_gateway_1","0x2BB6","Lichtmanufaktur Berlin GmbH","Lithernet Casambi Gateway","1","0","n","n","https://casambi.lithernet.de"
"Oem_shenzhen_imaginevision_technology_limited_zolar_toliman_30s_1","0x2BB5","Shenzhen ImagineVision Technology Limited","ZOLAR Toliman 30S","1","1","y","y","https://www.z-cam.com/"
"Oem_shenzhen_imaginevision_technology_limited_zolar_toliman_30c_1","0x2BB4","Shenzhen ImagineVision Technology Limited","ZOLAR Toliman 30C","1","1","y","y","https://www.z-cam.com/"
"Oem_shenzhen_imaginevision_technology_limited_zolar_vega_30c_1","0x2BB3","Shenzhen ImagineVision Technology Limited","ZOLAR Vega 30C","1","1","y","y","https://www.z-cam.com/"
"Oem_soundswitch_soundswitch_1","0x2BB2","SoundSwitch","SoundSwitch","0","2","n","n","https://www.soundswitch.com/"
"Oem_yarilo_pro_landmx8din_1","0x2BB1","Yarilo Pro","LanDMX8DIN","0","8","y","n","https://yarilo.pro/"
"Oem_shenzhen_imaginevision_technology_limited_zolar_toliman_30c_1","0x2BB0","Shenzhen ImagineVision Technology Limited","ZOLAR Toliman 30C","1","1","n","y","www.z-cam.com"
"Oem_schannherz_elektronikai_mahely_mueb_4_1","0x2BAF","Schannherz Elektronikai Mahely","MUEB 4","1","0","n","y","https://oriaskijelzo.sch.bme.hu/2018/ujraalkottuk-a-matrix-hardveret/"
"Oem_ahojpepo.eu_node1w1_1","0x2BAE","AhojPepo.eu","Node1w1","1","1","y","y","http://ahojpepo.eu"
"Oem_jentondimaco_veripack_1","0x2BAD","JentonDimaco","VeriPACK","0","0","y","n","https://www.dimaco.co.uk"
